max_depth	min_split	vminbucket	vcp	ganancia_promedio
12	40	13.3333333333333	0	45684000
12	40	20	0	39562000
12	40	10	0	45528000
12	40	5	0	45886000
12	40	2	0	45564000
12	80	20	-0.5	39334000
12	80	26.6666666666667	-0.5	37760000
12	80	40	-0.5	38828000
12	80	10	-0.5	40920000
12	80	5	-0.5	42182000
12	80	2	-0.5	44176000
12	80	20	-0.3	39334000
12	80	26.6666666666667	-0.3	37760000
12	80	40	-0.3	38828000
12	80	10	-0.3	40920000
12	80	5	-0.3	42182000
12	80	2	-0.3	44176000
12	80	20	-0.1	39334000
12	80	26.6666666666667	-0.1	37760000
12	80	40	-0.1	38828000
12	80	10	-0.1	40920000
12	80	5	-0.1	42182000
12	80	2	-0.1	44176000
12	80	20	0	35576000
12	80	26.6666666666667	0	35640000
12	80	40	0	35842000
12	80	10	0	41152000
12	80	5	0	47242000
12	80	2	0	46614000
12	160	40	-0.5	42608000
12	160	53.3333333333333	-0.5	42150000
12	160	80	-0.5	42668000
12	160	10	-0.5	43008000
12	160	5	-0.5	43990000
12	160	2	-0.5	45986000
12	160	40	-0.3	42608000
12	160	53.3333333333333	-0.3	42150000
12	160	80	-0.3	42668000
12	160	10	-0.3	43008000
12	160	5	-0.3	43990000
12	160	2	-0.3	45986000
12	160	40	-0.1	42608000
12	160	53.3333333333333	-0.1	42150000
12	160	80	-0.1	42668000
12	160	10	-0.1	43008000
12	160	5	-0.1	43990000
12	160	2	-0.1	45986000
12	160	40	0	12724000
12	160	53.3333333333333	0	6444000
12	160	80	0	0
12	160	10	0	14840000
12	160	5	0	44536000
12	160	2	0	46716000
12	320	80	-0.5	45150000
12	320	106.666666666667	-0.5	44836000
12	320	160	-0.5	46528000
12	320	10	-0.5	43822000
12	320	5	-0.5	44740000
12	320	2	-0.5	46022000
12	320	80	-0.3	45150000
12	320	106.666666666667	-0.3	44836000
12	320	160	-0.3	46528000
12	320	10	-0.3	43822000
12	320	5	-0.3	44740000
12	320	2	-0.3	46022000
12	320	80	-0.1	45150000
12	320	106.666666666667	-0.1	44836000
12	320	160	-0.1	46528000
12	320	10	-0.1	43822000
12	320	5	-0.1	44740000
12	320	2	-0.1	46022000
12	320	80	0	0
12	320	106.666666666667	0	0
12	320	160	0	0
12	320	10	0	6280000
12	320	5	0	42460000
12	320	2	0	46596000
12	640	160	-0.5	47346000
12	640	213.333333333333	-0.5	47806000
12	640	320	-0.5	49074000
12	640	10	-0.5	45560000
12	640	5	-0.5	47048000
12	640	2	-0.5	47978000
12	640	160	-0.3	47346000
12	640	213.333333333333	-0.3	47806000
12	640	320	-0.3	49074000
12	640	10	-0.3	45560000
12	640	5	-0.3	47048000
12	640	2	-0.3	47978000
12	640	160	-0.1	47346000
12	640	213.333333333333	-0.1	47806000
12	640	320	-0.1	49074000
12	640	10	-0.1	45560000
12	640	5	-0.1	47048000
12	640	2	-0.1	47978000
12	640	160	0	0
12	640	213.333333333333	0	0
12	640	320	0	0
12	640	10	0	0
12	640	5	0	40276000
12	640	2	0	44892000
14	10	2.5	-0.5	33138000
14	10	3.33333333333333	-0.5	30828000
14	10	5	-0.5	27194000
14	10	10	-0.5	29818000
14	10	5	-0.5	27194000
14	10	2	-0.5	33138000
14	10	2.5	-0.3	33138000
14	10	3.33333333333333	-0.3	30828000
14	10	5	-0.3	27194000
14	10	10	-0.3	29818000
14	10	5	-0.3	27194000
14	10	2	-0.3	33138000
14	10	2.5	-0.1	33138000
14	10	3.33333333333333	-0.1	30828000
14	10	5	-0.1	27194000
14	10	10	-0.1	29818000
14	10	5	-0.1	27194000
14	10	2	-0.1	33138000
14	10	2.5	0	39868000
14	10	3.33333333333333	0	37952000
14	10	5	0	38390000
14	10	10	0	42564000
14	10	5	0	38390000
14	10	2	0	39868000
14	20	5	-0.5	31372000
14	20	6.66666666666667	-0.5	31250000
14	20	10	-0.5	29818000
14	20	10	-0.5	29818000
14	20	5	-0.5	31372000
14	20	2	-0.5	35982000
14	20	5	-0.3	31372000
14	20	6.66666666666667	-0.3	31250000
14	20	10	-0.3	29818000
14	20	10	-0.3	29818000
14	20	5	-0.3	31372000
14	20	2	-0.3	35982000
14	20	5	-0.1	31372000
14	20	6.66666666666667	-0.1	31250000
14	20	10	-0.1	29818000
14	20	10	-0.1	29818000
14	20	5	-0.1	31372000
14	20	2	-0.1	35982000
14	20	5	0	43554000
14	20	6.66666666666667	0	44340000
14	20	10	0	42564000
14	20	10	0	42564000
14	20	5	0	43554000
14	20	2	0	43536000
14	40	10	-0.5	35010000
14	40	13.3333333333333	-0.5	35218000
14	40	20	-0.5	35716000
14	40	10	-0.5	35010000
14	40	5	-0.5	35606000
14	40	2	-0.5	40026000
14	40	10	-0.3	35010000
14	40	13.3333333333333	-0.3	35218000
14	40	20	-0.3	35716000
14	40	10	-0.3	35010000
14	40	5	-0.3	35606000
14	40	2	-0.3	40026000
14	40	10	-0.1	35010000
14	40	13.3333333333333	-0.1	35218000
14	40	20	-0.1	35716000
14	40	10	-0.1	35010000
14	40	5	-0.1	35606000
14	40	2	-0.1	40026000
14	40	10	0	45160000
14	40	13.3333333333333	0	45684000
14	40	20	0	39562000
14	40	10	0	45160000
14	40	5	0	45412000
14	40	2	0	45522000
14	80	20	-0.5	36908000
14	80	26.6666666666667	-0.5	35584000
